filename	acq_time	operator	randstr
func/sub-11_ses-1_task-motor_run-01_bold.nii.gz	2019-05-22T10:16:05.342500	n/a	4d42855b
func/sub-11_ses-1_task-motor_run-02_bold.nii.gz	2019-05-22T10:24:50.670000	n/a	72cac6a5
func/sub-11_ses-1_task-motor_run-03_bold.nii.gz	2019-05-22T10:33:18.315000	n/a	f838137d
fmap/sub-11_ses-1_run-01_magnitude1.nii.gz	2019-05-22T10:41:43.722500	n/a	34a62a19
fmap/sub-11_ses-1_run-01_magnitude2.nii.gz	2019-05-22T10:41:43.722500	n/a	34a62a19
fmap/sub-11_ses-1_run-01_phasediff.nii.gz	2019-05-22T10:41:44.445000	n/a	48e25622
func/sub-11_ses-1_task-motor_run-04_bold.nii.gz	2019-05-22T10:44:56.607500	n/a	640fa1c5
func/sub-11_ses-1_task-motor_run-05_bold.nii.gz	2019-05-22T10:53:27.060000	n/a	df111683
func/sub-11_ses-1_task-motor_run-06_bold.nii.gz	2019-05-22T11:01:55.147500	n/a	529d41ed
anat/sub-11_ses-1_run-01_T1w.nii.gz	2019-05-22T11:10:26.102500	n/a	84708929
