filename	acq_time	operator	randstr
func/sub-55_ses-1_task-motor_run-01_bold.nii.gz	2019-06-17T10:15:43.717500	n/a	eb162585
func/sub-55_ses-1_task-motor_run-02_bold.nii.gz	2019-06-17T10:24:13.387500	n/a	45a166e3
func/sub-55_ses-1_task-motor_run-03_bold.nii.gz	2019-06-17T10:32:49.702500	n/a	bce5d487
fmap/sub-55_ses-1_run-01_magnitude1.nii.gz	2019-06-17T10:41:06.917500	n/a	fdbfe164
fmap/sub-55_ses-1_run-01_magnitude2.nii.gz	2019-06-17T10:41:06.917500	n/a	fdbfe164
fmap/sub-55_ses-1_run-01_phasediff.nii.gz	2019-06-17T10:41:07.640000	n/a	cdebd160
func/sub-55_ses-1_task-motor_run-04_bold.nii.gz	2019-06-17T10:44:23.517500	n/a	d76486ad
func/sub-55_ses-1_task-motor_run-05_bold.nii.gz	2019-06-17T10:52:48.940000	n/a	db1a1dd2
func/sub-55_ses-1_task-motor_run-06_bold.nii.gz	2019-06-17T11:01:32.745000	n/a	e845811a
anat/sub-55_ses-1_run-01_T1w.nii.gz	2019-06-17T11:09:46.447500	n/a	d1769c9e
