filename	acq_time	operator	randstr
func/sub-32_ses-1_task-motor_run-01_bold.nii.gz	2019-05-29T11:40:50.750000	n/a	d88f7de9
func/sub-32_ses-1_task-motor_run-02_bold.nii.gz	2019-05-29T11:49:37.695000	n/a	84164c6b
func/sub-32_ses-1_task-motor_run-03_bold.nii.gz	2019-05-29T11:58:16.912500	n/a	9b583834
fmap/sub-32_ses-1_run-01_magnitude1.nii.gz	2019-05-29T12:07:20.605000	n/a	7587ae5f
fmap/sub-32_ses-1_run-01_magnitude2.nii.gz	2019-05-29T12:07:20.605000	n/a	7587ae5f
fmap/sub-32_ses-1_run-01_phasediff.nii.gz	2019-05-29T12:07:21.327500	n/a	b8b93a36
func/sub-32_ses-1_task-motor_run-04_bold.nii.gz	2019-05-29T12:10:43.430000	n/a	99edd214
func/sub-32_ses-1_task-motor_run-05_bold.nii.gz	2019-05-29T12:19:21.392500	n/a	ce75394d
func/sub-32_ses-1_task-motor_run-06_bold.nii.gz	2019-05-29T12:28:00.992500	n/a	b4f4c3a1
anat/sub-32_ses-1_run-01_T1w.nii.gz	2019-05-29T12:36:40.930000	n/a	238282bb
