filename	acq_time	operator	randstr
func/sub-29_ses-1_task-motor_run-01_bold.nii.gz	2019-05-28T14:02:32.620000	n/a	4fe79c8e
func/sub-29_ses-1_task-motor_run-02_bold.nii.gz	2019-05-28T14:11:10.995000	n/a	df9d537f
func/sub-29_ses-1_task-motor_run-03_bold.nii.gz	2019-05-28T14:19:40.390000	n/a	e1591f75
fmap/sub-29_ses-1_run-01_magnitude1.nii.gz	2019-05-28T14:27:59.682500	n/a	d9b19859
fmap/sub-29_ses-1_run-01_magnitude2.nii.gz	2019-05-28T14:27:59.682500	n/a	d9b19859
fmap/sub-29_ses-1_run-01_phasediff.nii.gz	2019-05-28T14:28:00.405000	n/a	551ca09c
func/sub-29_ses-1_task-motor_run-04_bold.nii.gz	2019-05-28T14:31:15.292500	n/a	7f4921a4
func/sub-29_ses-1_task-motor_run-05_bold.nii.gz	2019-05-28T14:39:41.382500	n/a	21d62930
func/sub-29_ses-1_task-motor_run-06_bold.nii.gz	2019-05-28T14:48:42.932500	n/a	1bfa0731
anat/sub-29_ses-1_run-01_T1w.nii.gz	2019-05-28T14:57:00.887500	n/a	f6a32fe3
