filename	acq_time	operator	randstr
func/sub-10_ses-1_task-motor_run-01_bold.nii.gz	2019-05-22T09:06:46.572500	n/a	6436fa51
func/sub-10_ses-1_task-motor_run-02_bold.nii.gz	2019-05-22T09:15:21.615000	n/a	dd8f862b
func/sub-10_ses-1_task-motor_run-03_bold.nii.gz	2019-05-22T09:23:51.377500	n/a	73c0269e
fmap/sub-10_ses-1_run-01_magnitude1.nii.gz	2019-05-22T09:32:38.462500	n/a	5a75cc97
fmap/sub-10_ses-1_run-01_magnitude2.nii.gz	2019-05-22T09:32:38.462500	n/a	5a75cc97
fmap/sub-10_ses-1_run-01_phasediff.nii.gz	2019-05-22T09:32:39.185000	n/a	b246079f
func/sub-10_ses-1_task-motor_run-04_bold.nii.gz	2019-05-22T09:35:55.372500	n/a	2fa5057d
func/sub-10_ses-1_task-motor_run-05_bold.nii.gz	2019-05-22T09:44:38.320000	n/a	603a85f2
func/sub-10_ses-1_task-motor_run-06_bold.nii.gz	2019-05-22T09:53:16.167500	n/a	9a40c8c8
anat/sub-10_ses-1_run-01_T1w.nii.gz	2019-05-22T10:01:30.932500	n/a	cd5cf369
