filename	acq_time	operator	randstr
func/sub-09_ses-1_task-motor_run-01_bold.nii.gz	2019-05-21T14:04:58.070000	n/a	322c470e
func/sub-09_ses-1_task-motor_run-02_bold.nii.gz	2019-05-21T14:13:35.350000	n/a	763bb7b0
func/sub-09_ses-1_task-motor_run-03_bold.nii.gz	2019-05-21T14:22:07.465000	n/a	925365cf
fmap/sub-09_ses-1_run-01_magnitude1.nii.gz	2019-05-21T14:30:45.167500	n/a	cd4ecfc0
fmap/sub-09_ses-1_run-01_magnitude2.nii.gz	2019-05-21T14:30:45.167500	n/a	cd4ecfc0
fmap/sub-09_ses-1_run-01_phasediff.nii.gz	2019-05-21T14:30:45.890000	n/a	6aaff0d6
func/sub-09_ses-1_task-motor_run-04_bold.nii.gz	2019-05-21T14:33:53.795000	n/a	d9b3fe8c
func/sub-09_ses-1_task-motor_run-05_bold.nii.gz	2019-05-21T14:42:31.447500	n/a	9f63702a
func/sub-09_ses-1_task-motor_run-06_bold.nii.gz	2019-05-21T14:51:00.382500	n/a	cadc00cc
anat/sub-09_ses-1_run-01_T1w.nii.gz	2019-05-21T14:59:07.277500	n/a	0d5a3a86
