filename	acq_time	operator	randstr
func/sub-47_ses-1_task-motor_run-01_bold.nii.gz	2019-06-13T11:44:17.640000	n/a	8d2ece35
func/sub-47_ses-1_task-motor_run-02_bold.nii.gz	2019-06-13T11:52:55.207500	n/a	b712ff19
func/sub-47_ses-1_task-motor_run-03_bold.nii.gz	2019-06-13T12:01:31.227500	n/a	a4779d01
fmap/sub-47_ses-1_run-01_magnitude1.nii.gz	2019-06-13T12:09:58.727500	n/a	0cddac2f
fmap/sub-47_ses-1_run-01_magnitude2.nii.gz	2019-06-13T12:09:58.727500	n/a	0cddac2f
fmap/sub-47_ses-1_run-01_phasediff.nii.gz	2019-06-13T12:09:59.450000	n/a	9a6baa5f
func/sub-47_ses-1_task-motor_run-04_bold.nii.gz	2019-06-13T12:13:24.077500	n/a	49796679
func/sub-47_ses-1_task-motor_run-05_bold.nii.gz	2019-06-13T12:22:45.507500	n/a	a84ae72d
func/sub-47_ses-1_task-motor_run-06_bold.nii.gz	2019-06-13T12:31:29.517500	n/a	f5bdf458
anat/sub-47_ses-1_run-01_T1w.nii.gz	2019-06-13T12:39:49.492500	n/a	3f2221fc
