filename	acq_time	operator	randstr
func/sub-20_ses-1_task-motor_run-01_bold.nii.gz	2019-05-27T09:12:40.475000	n/a	8f75d51c
func/sub-20_ses-1_task-motor_run-02_bold.nii.gz	2019-05-27T09:21:44.202500	n/a	3cc3dd16
func/sub-20_ses-1_task-motor_run-03_bold.nii.gz	2019-05-27T09:30:33.767500	n/a	ab2a5bec
fmap/sub-20_ses-1_run-01_magnitude1.nii.gz	2019-05-27T09:39:25.625000	n/a	73336525
fmap/sub-20_ses-1_run-01_magnitude2.nii.gz	2019-05-27T09:39:25.625000	n/a	73336525
fmap/sub-20_ses-1_run-01_phasediff.nii.gz	2019-05-27T09:39:26.347500	n/a	a0207844
func/sub-20_ses-1_task-motor_run-04_bold.nii.gz	2019-05-27T09:42:53.372500	n/a	4e60c8c2
func/sub-20_ses-1_task-motor_run-05_bold.nii.gz	2019-05-27T09:51:36.455000	n/a	298673fe
func/sub-20_ses-1_task-motor_run-06_bold.nii.gz	2019-05-27T10:00:21.985000	n/a	083b2cf1
anat/sub-20_ses-1_run-01_T1w.nii.gz	2019-05-27T10:08:55.132500	n/a	36b50aca
